"","year","count"
"1",1800,1
"2",1801,1
"3",1802,1
"4",1803,1
"5",1804,1
"6",1805,1
"7",1806,1
"8",1807,1
"9",1808,1
"10",1809,1
"11",1810,1
"12",1811,1
"13",1812,1
"14",1813,1
"15",1814,1
"16",1815,1
"17",1816,1
"18",1817,1
"19",1818,1
"20",1819,1
"21",1820,1
"22",1821,1
"23",1822,1
"24",1823,1
"25",1824,1
"26",1825,1
"27",1826,1
"28",1827,1
"29",1828,1
"30",1829,1
"31",1830,1
"32",1831,1
"33",1832,1
"34",1833,1
"35",1834,1
"36",1835,1
"37",1836,1
"38",1837,1
"39",1838,1
"40",1839,1
"41",1840,1
"42",1841,1
"43",1842,1
"44",1843,1
"45",1844,1
"46",1845,1
"47",1846,1
"48",1847,1
"49",1848,3
"50",1849,3
"51",1850,3
"52",1851,3
"53",1852,2
"54",1853,2
"55",1854,3
"56",1855,3
"57",1856,3
"58",1857,4
"59",1858,4
"60",1859,4
"61",1860,4
"62",1861,4
"63",1862,4
"64",1863,4
"65",1864,5
"66",1865,5
"67",1866,5
"68",1867,6
"69",1868,6
"70",1869,6
"71",1870,7
"72",1871,7
"73",1872,7
"74",1873,7
"75",1874,7
"76",1875,7
"77",1876,7
"78",1877,7
"79",1878,7
"80",1879,7
"81",1880,7
"82",1881,7
"83",1882,7
"84",1883,7
"85",1884,7
"86",1885,8
"87",1886,8
"88",1887,8
"89",1888,8
"90",1889,8
"91",1890,9
"92",1891,9
"93",1892,9
"94",1893,9
"95",1894,10
"96",1895,10
"97",1896,10
"98",1897,11
"99",1898,11
"100",1899,11
"101",1900,12
"102",1901,14
"103",1902,14
"104",1903,13
"105",1904,13
"106",1905,13
"107",1906,13
"108",1907,13
"109",1908,13
"110",1909,15
"111",1910,15
"112",1911,17
"113",1912,18
"114",1913,18
"115",1914,18
"116",1915,17
"117",1916,16
"118",1917,17
"119",1918,20
"120",1919,24
"121",1920,27
"122",1921,28
"123",1922,28
"124",1923,28
"125",1924,28
"126",1925,27
"127",1926,25
"128",1927,25
"129",1928,25
"130",1929,24
"131",1930,24
"132",1931,24
"133",1932,24
"134",1933,22
"135",1934,20
"136",1935,20
"137",1936,19
"138",1937,19
"139",1938,19
"140",1939,19
"141",1940,19
"142",1941,19
"143",1942,20
"144",1943,20
"145",1944,21
"146",1945,22
"147",1946,27
"148",1947,26
"149",1948,29
"150",1949,31
"151",1950,34
"152",1951,33
"153",1952,35
"154",1953,34
"155",1954,34
"156",1955,35
"157",1956,36
"158",1957,36
"159",1958,37
"160",1959,37
"161",1960,42
"162",1961,43
"163",1962,42
"164",1963,40
"165",1964,40
"166",1965,40
"167",1966,42
"168",1967,40
"169",1968,40
"170",1969,38
"171",1970,40
"172",1971,42
"173",1972,42
"174",1973,42
"175",1974,44
"176",1975,47
"177",1976,45
"178",1977,45
"179",1978,48
"180",1979,53
"181",1980,53
"182",1981,53
"183",1982,54
"184",1983,56
"185",1984,60
"186",1985,61
"187",1986,64
"188",1987,63
"189",1988,66
"190",1989,66
"191",1990,70
"192",1991,84
"193",1992,93
"194",1993,99
"195",1994,103
"196",1995,104
"197",1996,103
"198",1997,106
"199",1998,105
"200",1999,105
"201",2000,107
"202",2001,108
"203",2002,111
"204",2003,112
"205",2004,113
"206",2005,113
"207",2006,117
"208",2007,115
"209",2008,118
"210",2009,117
"211",2010,117
